,Category,Year,Zipcode,no crime of type,no in zipcode total,no in year total,% in zipcode total,% of type
0,ARSON,2003,94102.0,16,17910,149145,0.120084481545,0.000893355667225
1,ARSON,2003,94103.0,20,17445,149145,0.116966710248,0.00114646030381
2,ARSON,2003,94105.0,1,2638,149145,0.0176874853331,0.000379075056861
3,ARSON,2003,94107.0,21,6701,149145,0.0449294310905,0.00313386061782
4,ARSON,2003,94108.0,2,4313,149145,0.0289181668846,0.000463714351959
5,ARSON,2003,94109.0,5,12563,149145,0.0842334640786,0.000397994109687
6,ARSON,2003,94110.0,30,17182,149145,0.115203325623,0.0017460132697
7,ARSON,2003,94111.0,4,2258,149145,0.0151396292199,0.00177147918512
8,ARSON,2003,94112.0,23,7746,149145,0.0519360354018,0.00296927446424
9,ARSON,2003,94114.0,6,4161,149145,0.0278990244393,0.00144196106705
10,ARSON,2003,94115.0,11,6435,149145,0.0431459318113,0.0017094017094
11,ARSON,2003,94116.0,8,2167,149145,0.0145294847296,0.00369173973235
12,ARSON,2003,94117.0,5,5344,149145,0.0358309028127,0.000935628742515
13,ARSON,2003,94118.0,11,4197,149145,0.0281404002816,0.00262091970455
14,ARSON,2003,94121.0,6,2618,149145,0.0175533876429,0.00229182582124
15,ARSON,2003,94122.0,5,3701,149145,0.0248147775655,0.00135098621994
16,ARSON,2003,94123.0,5,2885,149145,0.0193435918066,0.00173310225303
17,ARSON,2003,94124.0,72,10528,149145,0.0705890241041,0.00683890577508
18,ARSON,2003,94127.0,1,1313,149145,0.00880351335948,0.000761614623001
19,ARSON,2003,94131.0,6,2282,149145,0.0153005464481,0.00262927256792
20,ARSON,2003,94132.0,5,3250,149145,0.0217908746522,0.00153846153846
21,ARSON,2003,94133.0,2,4755,149145,0.0318817258373,0.000420609884332
22,ARSON,2003,94134.0,28,4546,149145,0.030480404975,0.00615926088869
23,ARSON,2004,94005.0,1,23,148110,0.000155289987172,0.0434782608696
24,ARSON,2004,94014.0,1,145,148110,0.000979002093039,0.00689655172414
25,ARSON,2004,94015.0,1,13,148110,8.77726014449e-05,0.0769230769231
26,ARSON,2004,94102.0,20,17564,148110,0.118587536291,0.00113869278069
27,ARSON,2004,94103.0,19,17094,148110,0.115414219161,0.0011115011115
28,ARSON,2004,94105.0,1,2317,148110,0.0156437782729,0.000431592576608
29,ARSON,2004,94107.0,22,6778,148110,0.0457632840456,0.00324579521983
30,ARSON,2004,94108.0,3,4166,148110,0.0281277428938,0.000720115218435
31,ARSON,2004,94109.0,19,12175,148110,0.0822024171224,0.00156057494867
32,ARSON,2004,94110.0,23,17392,148110,0.117426237256,0.00132244710212
33,ARSON,2004,94111.0,1,2222,148110,0.0150023631085,0.0004500450045
34,ARSON,2004,94112.0,17,7734,148110,0.0522179461211,0.00219808637186
35,ARSON,2004,94114.0,1,4069,148110,0.0274728242522,0.000245760629147
36,ARSON,2004,94115.0,11,5844,148110,0.0394571602188,0.00188227241615
37,ARSON,2004,94116.0,6,2608,148110,0.0176085341976,0.00230061349693
38,ARSON,2004,94117.0,2,5510,148110,0.0372020795355,0.000362976406534
39,ARSON,2004,94118.0,8,4011,148110,0.027081223415,0.00199451508352
40,ARSON,2004,94121.0,10,2870,148110,0.0193774897036,0.00348432055749
41,ARSON,2004,94122.0,10,3996,148110,0.0269799473364,0.0025025025025
42,ARSON,2004,94123.0,4,2905,148110,0.0196138005536,0.0013769363167
43,ARSON,2004,94124.0,63,10905,148110,0.0736277091351,0.00577716643741
44,ARSON,2004,94127.0,4,1370,148110,0.00924988184457,0.0029197080292
45,ARSON,2004,94131.0,5,2388,148110,0.0161231517116,0.00209380234506
46,ARSON,2004,94132.0,6,3129,148110,0.0211261899939,0.00191754554171
47,ARSON,2004,94133.0,7,4821,148110,0.0325501316589,0.00145198091682
48,ARSON,2004,94134.0,15,4401,148110,0.0297144014584,0.00340831629175
49,ARSON,2005,94102.0,11,16717,142112,0.117632571493,0.00065801280134
50,ARSON,2005,94103.0,21,16612,142112,0.116893717631,0.00126414640019
51,ARSON,2005,94107.0,10,6896,142112,0.0485251069579,0.00145011600928
52,ARSON,2005,94108.0,2,3880,142112,0.0273024093673,0.000515463917526
53,ARSON,2005,94109.0,10,11877,142112,0.0835749268183,0.000841963458786
54,ARSON,2005,94110.0,26,16092,142112,0.11323463184,0.0016157096694
55,ARSON,2005,94111.0,2,1893,142112,0.0133204796217,0.00105652403592
56,ARSON,2005,94112.0,16,7662,142112,0.0539152217969,0.00208822761681
57,ARSON,2005,94114.0,4,3920,142112,0.0275838775051,0.00102040816327
58,ARSON,2005,94115.0,11,6001,142112,0.0422272573745,0.0018330278287
59,ARSON,2005,94116.0,5,2685,142112,0.0188935487503,0.00186219739292
60,ARSON,2005,94117.0,4,5508,142112,0.038758162576,0.000726216412491
61,ARSON,2005,94118.0,2,3799,142112,0.0267324363882,0.000526454330087
62,ARSON,2005,94121.0,7,2428,142112,0.0170851159649,0.00288303130148
63,ARSON,2005,94122.0,8,3759,142112,0.0264509682504,0.00212822559191
64,ARSON,2005,94123.0,1,3022,142112,0.0212649178113,0.000330906684315
65,ARSON,2005,94124.0,58,9893,142112,0.0696141071831,0.0058627312241
66,ARSON,2005,94127.0,4,1258,142112,0.00885217293402,0.00317965023847
67,ARSON,2005,94131.0,4,2153,142112,0.0151500225175,0.00185787273572
68,ARSON,2005,94132.0,9,2961,142112,0.0208356789011,0.00303951367781
69,ARSON,2005,94133.0,2,4897,142112,0.034458736771,0.000408413314274
70,ARSON,2005,94134.0,14,4240,142112,0.0298356226075,0.00330188679245
71,ARSON,2006,94102.0,18,16965,137853,0.123065874519,0.00106100795756
72,ARSON,2006,94103.0,19,16543,137853,0.120004642627,0.00114852203349
73,ARSON,2006,94104.0,1,904,137853,0.00655771002445,0.00110619469027
74,ARSON,2006,94107.0,15,5766,137853,0.0418271637179,0.00260145681582
75,ARSON,2006,94108.0,2,3837,137853,0.0278339970839,0.000521240552515
76,ARSON,2006,94109.0,8,11966,137853,0.0868026085758,0.000668560922614
77,ARSON,2006,94110.0,18,15373,137853,0.111517340936,0.00117088401743
78,ARSON,2006,94111.0,7,1996,137853,0.0144791916026,0.00350701402806
79,ARSON,2006,94112.0,18,7200,137853,0.0522295488673,0.0025
80,ARSON,2006,94114.0,6,3762,137853,0.0272899392831,0.00159489633174
81,ARSON,2006,94115.0,8,6103,137853,0.044271796769,0.00131083073898
82,ARSON,2006,94116.0,4,2396,137853,0.0173808332064,0.0016694490818
83,ARSON,2006,94117.0,10,5229,137853,0.0379317098649,0.00191241155097
84,ARSON,2006,94118.0,3,3523,137853,0.0255562084249,0.000851546977008
85,ARSON,2006,94121.0,9,2058,137853,0.0149289460512,0.00437317784257
86,ARSON,2006,94122.0,3,3395,137853,0.0246276831117,0.000883652430044
87,ARSON,2006,94123.0,6,2671,137853,0.019375711809,0.00224634968177
88,ARSON,2006,94124.0,52,10290,137853,0.0746447302561,0.00505344995141
89,ARSON,2006,94127.0,2,1314,137853,0.00953189266828,0.00152207001522
90,ARSON,2006,94131.0,4,2066,137853,0.0149869788833,0.00193610842207
91,ARSON,2006,94132.0,2,2797,137853,0.0202897289141,0.000715051841258
92,ARSON,2006,94133.0,4,4831,137853,0.0350445764691,0.000827985924239
93,ARSON,2006,94134.0,19,3966,137853,0.0287697765011,0.0047907211296
94,ARSON,2006,94158.0,2,343,137853,0.0024881576752,0.00583090379009
95,ARSON,2007,94102.0,10,19282,137639,0.140091107898,0.000518618400581
96,ARSON,2007,94103.0,19,17163,137639,0.124695762102,0.00110703257006
97,ARSON,2007,94104.0,2,860,137639,0.00624822906298,0.00232558139535
98,ARSON,2007,94107.0,17,5786,137639,0.0420375039051,0.00293812651227
99,ARSON,2007,94108.0,5,3863,137639,0.028066173105,0.00129433083096
100,ARSON,2007,94109.0,10,11842,137639,0.0860366611208,0.000844451950684
101,ARSON,2007,94110.0,19,15374,137639,0.111697992575,0.00123585273839
102,ARSON,2007,94111.0,2,1918,137639,0.013935003887,0.00104275286757
103,ARSON,2007,94112.0,14,7442,137639,0.0540689775427,0.00188121472722
104,ARSON,2007,94114.0,4,3288,137639,0.023888578092,0.00121654501217
105,ARSON,2007,94115.0,9,5152,137639,0.0374312513169,0.00174689440994
106,ARSON,2007,94116.0,11,2164,137639,0.0157222880143,0.0050831792976
107,ARSON,2007,94117.0,1,4945,137639,0.0359273171122,0.000202224469161
108,ARSON,2007,94118.0,5,3605,137639,0.0261917043861,0.00138696255201
109,ARSON,2007,94121.0,9,2210,137639,0.0160564956153,0.00407239819005
110,ARSON,2007,94122.0,7,3210,137639,0.0233218782467,0.00218068535826
111,ARSON,2007,94123.0,6,2623,137639,0.0190570986421,0.00228745711018
112,ARSON,2007,94124.0,58,9743,137639,0.0707866229775,0.00595299189161
113,ARSON,2007,94127.0,2,1075,137639,0.00781028632873,0.00186046511628
114,ARSON,2007,94131.0,2,1727,137639,0.0125473158044,0.0011580775912
115,ARSON,2007,94132.0,4,2459,137639,0.0178655758906,0.00162667751118
116,ARSON,2007,94133.0,9,4891,137639,0.0355349864501,0.00184011449601
117,ARSON,2007,94134.0,21,4081,137639,0.0296500265186,0.00514579759863
118,ARSON,2008,94102.0,8,20964,141311,0.148353631352,0.000381606563633
119,ARSON,2008,94103.0,18,16126,141311,0.114117089257,0.00111620984745
120,ARSON,2008,94105.0,2,2334,141311,0.0165167609033,0.000856898029135
121,ARSON,2008,94107.0,22,6110,141311,0.0432379644897,0.00360065466448
122,ARSON,2008,94108.0,4,3970,141311,0.0280940620334,0.00100755667506
123,ARSON,2008,94109.0,18,11796,141311,0.0834754548478,0.00152594099695
124,ARSON,2008,94110.0,11,16644,141311,0.117782762842,0.000660898822398
125,ARSON,2008,94111.0,1,1996,141311,0.014124873506,0.000501002004008
126,ARSON,2008,94112.0,13,7208,141311,0.0510080602359,0.00180355160932
127,ARSON,2008,94114.0,6,3511,141311,0.0248459072542,0.00170891483908
128,ARSON,2008,94115.0,14,5271,141311,0.037300705536,0.00265604249668
129,ARSON,2008,94116.0,3,2571,141311,0.0181939127173,0.00116686114352
130,ARSON,2008,94117.0,6,4681,141311,0.0331255174756,0.00128177739799
131,ARSON,2008,94118.0,8,3537,141311,0.0250298985925,0.00226180378852
132,ARSON,2008,94121.0,7,2483,141311,0.0175711728032,0.00281917035844
133,ARSON,2008,94122.0,8,3687,141311,0.0260913870824,0.00216978573366
134,ARSON,2008,94123.0,14,2764,141311,0.0195596945744,0.00506512301013
135,ARSON,2008,94124.0,51,9864,141311,0.0698034830976,0.0051703163017
136,ARSON,2008,94127.0,2,1094,141311,0.00774178938653,0.0018281535649
137,ARSON,2008,94131.0,1,1773,141311,0.0125467939509,0.000564015792442
138,ARSON,2008,94132.0,4,2446,141311,0.0173093389757,0.00163532297629
139,ARSON,2008,94133.0,9,4857,141311,0.0343709973038,0.00185299567634
140,ARSON,2008,94134.0,16,4017,141311,0.0284266617602,0.00398307194424
141,ARSON,2008,94158.0,2,389,141311,0.00275279348388,0.00514138817481
142,ARSON,2009,94005.0,1,39,139860,0.00027885027885,0.025641025641
143,ARSON,2009,94102.0,10,21141,139860,0.151158301158,0.000473014521546
144,ARSON,2009,94103.0,24,16786,139860,0.12002002002,0.00142976289765
145,ARSON,2009,94104.0,4,950,139860,0.00679250679251,0.00421052631579
146,ARSON,2009,94105.0,3,2493,139860,0.017824967825,0.00120336943442
147,ARSON,2009,94107.0,11,5780,139860,0.041327041327,0.00190311418685
148,ARSON,2009,94108.0,3,3872,139860,0.0276848276848,0.00077479338843
149,ARSON,2009,94109.0,21,11604,139860,0.0829686829687,0.00180972078594
150,ARSON,2009,94110.0,8,15629,139860,0.111747461747,0.000511868961546
151,ARSON,2009,94111.0,4,1918,139860,0.0137137137137,0.00208550573514
152,ARSON,2009,94112.0,13,7206,139860,0.051522951523,0.00180405217874
153,ARSON,2009,94114.0,2,3570,139860,0.0255255255255,0.000560224089636
154,ARSON,2009,94115.0,12,4848,139860,0.0346632346632,0.00247524752475
155,ARSON,2009,94116.0,8,2323,139860,0.0166094666095,0.00344382264313
156,ARSON,2009,94117.0,19,5175,139860,0.0370012870013,0.00367149758454
157,ARSON,2009,94118.0,4,3751,139860,0.0268196768197,0.00106638229805
158,ARSON,2009,94121.0,14,2315,139860,0.0165522665523,0.0060475161987
159,ARSON,2009,94122.0,5,3338,139860,0.0238667238667,0.00149790293589
160,ARSON,2009,94123.0,3,2895,139860,0.0206992706993,0.00103626943005
161,ARSON,2009,94124.0,34,9583,139860,0.0685185185185,0.0035479494939
162,ARSON,2009,94127.0,1,1239,139860,0.00885885885886,0.000807102502018
163,ARSON,2009,94131.0,2,1754,139860,0.0125411125411,0.00114025085519
164,ARSON,2009,94132.0,2,2500,139860,0.017875017875,0.0008
165,ARSON,2009,94133.0,3,4645,139860,0.0332117832118,0.000645855758881
166,ARSON,2009,94134.0,11,3843,139860,0.0274774774775,0.00286234712464
167,ARSON,2010,94014.0,1,162,133525,0.00121325594458,0.00617283950617
168,ARSON,2010,94102.0,10,17621,133525,0.131967796293,0.000567504681914
169,ARSON,2010,94103.0,28,18562,133525,0.139015165699,0.00150845814029
170,ARSON,2010,94104.0,1,926,133525,0.00693503089309,0.00107991360691
171,ARSON,2010,94105.0,4,2725,133525,0.0204081632653,0.00146788990826
172,ARSON,2010,94107.0,11,6198,133525,0.0464182737315,0.00177476605357
173,ARSON,2010,94109.0,9,10601,133525,0.0793933720277,0.00084897651165
174,ARSON,2010,94110.0,19,14683,133525,0.109964426137,0.00129401348498
175,ARSON,2010,94111.0,5,1704,133525,0.0127616551208,0.00293427230047
176,ARSON,2010,94112.0,9,7030,133525,0.0526493166074,0.00128022759602
177,ARSON,2010,94114.0,2,3488,133525,0.0261224489796,0.000573394495413
178,ARSON,2010,94115.0,6,4630,133525,0.0346751544655,0.00129589632829
179,ARSON,2010,94116.0,5,2046,133525,0.015322973226,0.00244379276637
180,ARSON,2010,94117.0,1,4520,133525,0.0338513387006,0.000221238938053
181,ARSON,2010,94118.0,3,3474,133525,0.0260175997004,0.000863557858377
182,ARSON,2010,94121.0,5,2355,133525,0.0176371466018,0.00212314225053
183,ARSON,2010,94122.0,6,3123,133525,0.0233888784872,0.00192122958694
184,ARSON,2010,94123.0,3,2358,133525,0.0176596143044,0.00127226463104
185,ARSON,2010,94124.0,53,9626,133525,0.0720913686576,0.00550592146271
186,ARSON,2010,94127.0,1,1011,133525,0.00757161580228,0.000989119683482
187,ARSON,2010,94131.0,2,1786,133525,0.0133757723273,0.00111982082867
188,ARSON,2010,94132.0,6,2289,133525,0.0171428571429,0.00262123197903
189,ARSON,2010,94133.0,4,4242,133525,0.0317693315858,0.000942951438001
190,ARSON,2010,94134.0,13,3910,133525,0.0292829058229,0.00332480818414
191,ARSON,2010,94158.0,2,488,133525,0.00365474630219,0.00409836065574
192,ARSON,2011,94102.0,12,16828,132699,0.126813314343,0.000713097218921
193,ARSON,2011,94103.0,17,17178,132699,0.129450862478,0.000989637908953
194,ARSON,2011,94104.0,2,986,132699,0.0074303498896,0.00202839756592
195,ARSON,2011,94105.0,5,3031,132699,0.0228411668513,0.00164962058726
196,ARSON,2011,94107.0,12,5922,132699,0.0446273144485,0.00202634245187
197,ARSON,2011,94108.0,6,4097,132699,0.0308743848861,0.00146448620942
198,ARSON,2011,94109.0,11,9883,132699,0.0744768234877,0.00111302236163
199,ARSON,2011,94110.0,9,14232,132699,0.107250243031,0.000632377740304
200,ARSON,2011,94111.0,3,1762,132699,0.013278170898,0.00170261066969
201,ARSON,2011,94112.0,18,6655,132699,0.0501510938289,0.00270473328325
202,ARSON,2011,94114.0,13,3739,132699,0.0281765499363,0.00347686547205
203,ARSON,2011,94115.0,2,5289,132699,0.0398571202496,0.000378143316317
204,ARSON,2011,94116.0,3,2302,132699,0.0173475308782,0.001303214596
205,ARSON,2011,94117.0,2,4691,132699,0.0353506808642,0.000426348326583
206,ARSON,2011,94118.0,7,3387,132699,0.0255239300974,0.00206672571597
207,ARSON,2011,94121.0,7,2446,132699,0.0184326935395,0.0028618152085
208,ARSON,2011,94122.0,3,3502,132699,0.0263905530562,0.000856653340948
209,ARSON,2011,94123.0,2,2474,132699,0.0186436973903,0.000808407437348
210,ARSON,2011,94124.0,37,9933,132699,0.0748536160785,0.00372495721333
211,ARSON,2011,94127.0,5,1188,132699,0.00895259195623,0.00420875420875
212,ARSON,2011,94131.0,4,1841,132699,0.0138735031914,0.00217273221076
213,ARSON,2011,94132.0,8,2474,132699,0.0186436973903,0.00323362974939
214,ARSON,2011,94133.0,6,4551,132699,0.0342956616101,0.00131839156229
215,ARSON,2011,94134.0,8,3686,132699,0.0277771497901,0.00217037438958
216,ARSON,2011,94158.0,1,317,132699,0.00238886502536,0.00315457413249
217,ARSON,2012,94102.0,18,16918,140856,0.120108479582,0.0010639555503
218,ARSON,2012,94103.0,17,17623,140856,0.125113591185,0.000964648470748
219,ARSON,2012,94104.0,4,1128,140856,0.00800817856534,0.00354609929078
220,ARSON,2012,94105.0,1,3034,140856,0.0215397285171,0.000329597890574
221,ARSON,2012,94107.0,17,7084,140856,0.0502924973022,0.0023997741389
222,ARSON,2012,94108.0,7,4366,140856,0.0309961946953,0.00160329821347
223,ARSON,2012,94109.0,11,10246,140856,0.0727409553019,0.00107358969354
224,ARSON,2012,94110.0,25,14572,140856,0.103453172034,0.00171561899533
225,ARSON,2012,94111.0,2,1970,140856,0.013985914693,0.0010152284264
226,ARSON,2012,94112.0,19,6870,140856,0.0487732151985,0.00276564774381
227,ARSON,2012,94114.0,7,4245,140856,0.0301371613563,0.00164899882214
228,ARSON,2012,94115.0,3,5571,140856,0.03955103084,0.000538502961766
229,ARSON,2012,94116.0,8,2342,140856,0.0166269097518,0.00341588385995
230,ARSON,2012,94117.0,2,5558,140856,0.0394587380019,0.000359841669665
231,ARSON,2012,94118.0,5,4185,140856,0.0297111944113,0.00119474313023
232,ARSON,2012,94121.0,7,2699,140856,0.0191614130743,0.00259355316784
233,ARSON,2012,94122.0,4,3481,140856,0.0247131822571,0.00114909508762
234,ARSON,2012,94123.0,1,2804,140856,0.019906855228,0.000356633380884
235,ARSON,2012,94124.0,43,10123,140856,0.0718677230647,0.0042477526425
236,ARSON,2012,94127.0,1,1244,140856,0.00883171465894,0.0008038585209
237,ARSON,2012,94131.0,6,2028,140856,0.0143976827398,0.00295857988166
238,ARSON,2012,94132.0,11,2922,140856,0.0207445902198,0.00376454483231
239,ARSON,2012,94133.0,7,5137,140856,0.0364698699381,0.0013626630329
240,ARSON,2012,94134.0,11,3832,140856,0.0272050888851,0.00287056367432
241,ARSON,2013,94102.0,26,18855,152811,0.123387714235,0.00137894457704
242,ARSON,2013,94103.0,28,20595,152811,0.134774329073,0.00135955328963
243,ARSON,2013,94104.0,5,1145,152811,0.00749291608588,0.00436681222707
244,ARSON,2013,94105.0,2,3334,152811,0.0218178010745,0.000599880023995
245,ARSON,2013,94107.0,7,7546,152811,0.0493812618202,0.000927643784787
246,ARSON,2013,94108.0,9,4795,152811,0.0313786311195,0.00187695516163
247,ARSON,2013,94109.0,21,11301,152811,0.0739541001629,0.0018582426334
248,ARSON,2013,94110.0,26,16090,152811,0.105293467093,0.00161591050342
249,ARSON,2013,94111.0,2,2114,152811,0.0138340826249,0.000946073793756
250,ARSON,2013,94112.0,17,7781,152811,0.0509191092264,0.00218480915049
251,ARSON,2013,94114.0,5,4601,152811,0.0301090890054,0.0010867202782
252,ARSON,2013,94115.0,5,6151,152811,0.0402523378553,0.000812875955129
253,ARSON,2013,94116.0,3,2407,152811,0.0157514838591,0.00124636476942
254,ARSON,2013,94117.0,7,6278,152811,0.0410834298578,0.00111500477859
255,ARSON,2013,94118.0,7,4332,152811,0.0283487445276,0.00161588180979
256,ARSON,2013,94121.0,8,3033,152811,0.0198480475882,0.00263765248928
257,ARSON,2013,94122.0,14,3455,152811,0.022609628888,0.0040520984081
258,ARSON,2013,94123.0,7,3006,152811,0.0196713587373,0.00232867598137
259,ARSON,2013,94124.0,34,9992,152811,0.0653879629084,0.00340272217774
260,ARSON,2013,94131.0,2,2093,152811,0.0136966579631,0.000955566172957
261,ARSON,2013,94132.0,4,2793,152811,0.0182774800243,0.00143215180809
262,ARSON,2013,94133.0,3,5271,152811,0.0344935901211,0.000569151963574
263,ARSON,2013,94134.0,5,3673,152811,0.0240362277585,0.00136128505309
264,ARSON,2013,94158.0,1,530,152811,0.00346833670351,0.00188679245283
265,ARSON,2014,94102.0,13,17096,150149,0.113860232169,0.000760411792232
266,ARSON,2014,94103.0,20,19253,150149,0.128225962211,0.00103879914818
267,ARSON,2014,94104.0,3,1261,150149,0.00839832433116,0.00237906423473
268,ARSON,2014,94105.0,16,3768,150149,0.0250950722283,0.00424628450106
269,ARSON,2014,94107.0,10,7386,150149,0.0491911368041,0.00135391280802
270,ARSON,2014,94108.0,8,5479,150149,0.0364904195166,0.00146012045994
271,ARSON,2014,94109.0,11,11719,150149,0.0780491378564,0.000938646642205
272,ARSON,2014,94110.0,27,15133,150149,0.100786552025,0.00178418026829
273,ARSON,2014,94111.0,5,2446,150149,0.0162904847851,0.00204415372036
274,ARSON,2014,94112.0,12,7084,150149,0.0471798013973,0.0016939582157
275,ARSON,2014,94114.0,22,4437,150149,0.029550646358,0.00495830516114
276,ARSON,2014,94115.0,18,6260,150149,0.0416919193601,0.00287539936102
277,ARSON,2014,94116.0,3,2607,150149,0.0173627529987,0.00115074798619
278,ARSON,2014,94117.0,7,6188,150149,0.041212395687,0.00113122171946
279,ARSON,2014,94118.0,3,4232,150149,0.0281853358997,0.000708884688091
280,ARSON,2014,94121.0,5,2800,150149,0.0186481428448,0.00178571428571
281,ARSON,2014,94122.0,11,3686,150149,0.0245489480449,0.00298426478568
282,ARSON,2014,94123.0,5,3119,150149,0.0207726991189,0.00160307790959
283,ARSON,2014,94124.0,34,9471,150149,0.0630773431724,0.00358990602893
284,ARSON,2014,94127.0,1,1317,150149,0.00877128718806,0.000759301442673
285,ARSON,2014,94131.0,3,1925,150149,0.0128205982058,0.00155844155844
286,ARSON,2014,94132.0,8,2745,150149,0.0182818400389,0.00291438979964
287,ARSON,2014,94133.0,3,6131,150149,0.040832772779,0.000489316587832
288,ARSON,2014,94134.0,5,3667,150149,0.0244224070756,0.00136351240796
289,ARSON,2015,94102.0,24,16857,156111,0.107980859773,0.00142374087916
290,ARSON,2015,94103.0,31,19548,156111,0.125218594462,0.00158583998363
291,ARSON,2015,94105.0,3,3982,156111,0.0255074914644,0.000753390256153
292,ARSON,2015,94107.0,16,8529,156111,0.0546342025866,0.0018759526322
293,ARSON,2015,94108.0,14,5064,156111,0.0324384572516,0.00276461295419
294,ARSON,2015,94109.0,21,11879,156111,0.0760932925931,0.00176782557454
295,ARSON,2015,94110.0,30,14265,156111,0.0913772892365,0.00210304942166
296,ARSON,2015,94111.0,3,2870,156111,0.018384354722,0.00104529616725
297,ARSON,2015,94112.0,15,7306,156111,0.0468000333096,0.00205310703531
298,ARSON,2015,94114.0,14,4311,156111,0.027614966274,0.00324750637903
299,ARSON,2015,94115.0,14,6707,156111,0.0429630199025,0.00208737140301
300,ARSON,2015,94116.0,1,2893,156111,0.0185316857877,0.00034566194262
301,ARSON,2015,94117.0,6,6001,156111,0.0384405967549,0.000999833361106
302,ARSON,2015,94118.0,7,4605,156111,0.0294982416358,0.00152008686211
303,ARSON,2015,94121.0,1,3271,156111,0.0209530398242,0.000305716906145
304,ARSON,2015,94122.0,7,4165,156111,0.0266797342916,0.00168067226891
305,ARSON,2015,94123.0,14,3813,156111,0.0244249284163,0.00367164961972
306,ARSON,2015,94124.0,49,9441,156111,0.0604761996272,0.00519012816439
307,ARSON,2015,94132.0,6,3227,156111,0.0206711890898,0.00185931205454
308,ARSON,2015,94133.0,19,7047,156111,0.0451409573957,0.00269618277281
309,ARSON,2015,94134.0,13,3938,156111,0.02522564073,0.00330116810564
310,ARSON,2015,94158.0,3,843,156111,0.00540000384342,0.00355871886121
311,ARSON,2016,94014.0,1,63,72504,0.000868917576961,0.015873015873
312,ARSON,2016,94102.0,12,8017,72504,0.110573209754,0.00149681925907
313,ARSON,2016,94103.0,10,9453,72504,0.130379013572,0.00105786522797
314,ARSON,2016,94104.0,2,673,72504,0.00928224649675,0.00297176820208
315,ARSON,2016,94105.0,4,1863,72504,0.0256951340616,0.00214707461084
316,ARSON,2016,94107.0,9,3810,72504,0.0525488248924,0.00236220472441
317,ARSON,2016,94108.0,5,2186,72504,0.0301500606863,0.00228728270814
318,ARSON,2016,94109.0,8,5553,72504,0.076588877855,0.00144066270484
319,ARSON,2016,94110.0,18,6525,72504,0.0899950347567,0.00275862068966
320,ARSON,2016,94111.0,4,1227,72504,0.016923204237,0.00325998370008
321,ARSON,2016,94112.0,6,3172,72504,0.0437493103829,0.00189155107188
322,ARSON,2016,94114.0,3,1936,72504,0.0267019750634,0.00154958677686
323,ARSON,2016,94115.0,3,3149,72504,0.0434320865056,0.000952683391553
324,ARSON,2016,94116.0,2,1277,72504,0.0176128213616,0.00156617071261
325,ARSON,2016,94117.0,6,2890,72504,0.0398598698003,0.00207612456747
326,ARSON,2016,94121.0,4,1655,72504,0.0228263268233,0.002416918429
327,ARSON,2016,94122.0,3,1962,72504,0.0270605759682,0.00152905198777
328,ARSON,2016,94123.0,3,1795,72504,0.0247572547722,0.0016713091922
329,ARSON,2016,94124.0,35,4324,72504,0.059638088933,0.00809435707678
330,ARSON,2016,94131.0,1,1008,72504,0.0139026812314,0.000992063492063
331,ARSON,2016,94132.0,3,1601,72504,0.0220815403288,0.00187382885696
332,ARSON,2016,94133.0,3,3412,72504,0.0470594725808,0.000879249706917
333,ARSON,2016,94134.0,4,1580,72504,0.0217919011365,0.00253164556962
334,ARSON,2016,94158.0,2,443,72504,0.00611000772371,0.00451467268623
335,ASSAULT,2003,0.0,3,14,149145,9.38683831171e-05,0.214285714286
336,ASSAULT,2003,94005.0,1,23,149145,0.000154212343692,0.0434782608696
337,ASSAULT,2003,94014.0,33,169,149145,0.00113312548191,0.195266272189
338,ASSAULT,2003,94102.0,1663,17910,149145,0.120084481545,0.0928531546622
339,ASSAULT,2003,94103.0,1330,17445,149145,0.116966710248,0.0762396102035
340,ASSAULT,2003,94104.0,84,1114,149145,0.00746924134232,0.0754039497307
341,ASSAULT,2003,94105.0,181,2638,149145,0.0176874853331,0.0686125852919
342,ASSAULT,2003,94107.0,566,6701,149145,0.0449294310905,0.0844650052231
343,ASSAULT,2003,94108.0,256,4313,149145,0.0289181668846,0.0593554370508
344,ASSAULT,2003,94109.0,975,12563,149145,0.0842334640786,0.077608851389
345,ASSAULT,2003,94110.0,1574,17182,149145,0.115203325623,0.091607496217
346,ASSAULT,2003,94111.0,174,2258,149145,0.0151396292199,0.0770593445527
347,ASSAULT,2003,94112.0,934,7746,149145,0.0519360354018,0.120578363026
348,ASSAULT,2003,94114.0,352,4161,149145,0.0278990244393,0.084595049267
349,ASSAULT,2003,94115.0,616,6435,149145,0.0431459318113,0.0957264957265
350,ASSAULT,2003,94116.0,183,2167,149145,0.0145294847296,0.0844485463775
351,ASSAULT,2003,94117.0,429,5344,149145,0.0358309028127,0.0802769461078
352,ASSAULT,2003,94118.0,322,4197,149145,0.0281404002816,0.076721467715
353,ASSAULT,2003,94121.0,262,2618,149145,0.0175533876429,0.100076394194
354,ASSAULT,2003,94122.0,358,3701,149145,0.0248147775655,0.0967306133477
355,ASSAULT,2003,94123.0,168,2885,149145,0.0193435918066,0.0582322357019
356,ASSAULT,2003,94124.0,1290,10528,149145,0.0705890241041,0.122530395137
357,ASSAULT,2003,94127.0,135,1313,149145,0.00880351335948,0.102817974105
358,ASSAULT,2003,94129.0,1,73,149145,0.000489456569111,0.013698630137
